sample_id,gsm,sample,timepoint,GMP,HSC,Progenitor,Early.Erythrocyte,CD4.Naive,B.Cell,Monocytes,CD4.Memory,CD8.Memory,Early.Basophil,NK,Late.Erythrocyte,CD8.Naive,CD8.Effector,CLP,CD16.Monocytes,Pre.B.Cell,cDC,Plasma,Unknown,pDC
AML16_DX,GSM7494257,AML16,DX,1570,1536,1070,962,406,302,158,157,123,117,110,84,59,37,22,21,10,8,3,1,1
AML16_REL,GSM7494258,AML16,REL,314,1100,623,45,186,205,53,136,200,0,83,46,29,8,1235,0,191,8,10,4,0
AML16_REM,GSM7494259,AML16,REM,15,35,0,58,1087,10,2689,425,58,6,73,1,160,104,2,158,1,128,0,34,109
AML6_DX,GSM7494260,AML6,DX,2909,377,577,45,403,464,869,106,30,37,28,0,51,14,20,8,66,302,15,6,0
AML6_REL,GSM7494261,AML6,REL,56,3662,1188,16,121,106,18,54,17,3,23,1,4,0,53,1,19,15,1,0,0
AML6_REM,GSM7494262,AML6,REM,158,11,28,183,505,2,1310,191,98,3,72,522,158,61,47,42,14,118,4,5,59
AML2_DX,GSM7494263,AML2,DX,1934,271,611,17,28,30,1513,23,15,14,9,64,3,5,91,0,71,184,7,10,33
AML2_REL,GSM7494264,AML2,REL,295,2253,2267,19,129,131,17,37,43,0,25,20,13,8,235,1,54,9,0,0,8
AML2_REM,GSM7494265,AML2,REM,127,46,37,66,205,0,529,54,42,4,50,393,86,10,77,38,12,24,0,2,38
AML15_DX,GSM7494266,AML15,DX,928,1322,1996,789,221,121,67,101,109,17,160,63,42,65,22,7,1,0,6,0,0
AML15_REL,GSM7494267,AML15,REL,212,659,1779,1191,136,272,14,116,198,19,221,127,24,10,57,7,203,0,9,3,2
AML15_REM,GSM7494268,AML15,REM,119,179,48,28,323,2,255,127,105,0,44,277,35,86,59,13,0,46,5,4,53
AML3_DX,GSM7494269,AML3,DX,2078,1430,1694,22,121,58,1955,88,67,8,79,11,48,16,184,11,79,442,0,31,102
AML3_REM,GSM7494270,AML3,REM,72,7,21,319,489,1,394,154,105,1,124,587,83,44,106,33,44,37,0,1,47
AML7_DX,GSM7494271,AML7,DX,0,4,1,1,20,6,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0
AML7_REL,GSM7494272,AML7,REL,577,133,539,12,183,66,555,94,45,4,47,37,31,20,12,2,18,1,2,3,0
AML7_REM,GSM7494273,AML7,REM,19,84,23,58,543,11,562,232,83,2,82,223,61,53,25,16,7,69,1,3,60
AML8_DX,GSM7494274,AML8,DX,441,32,3351,16,339,28,11,19,3,4,26,70,4,6,13,0,7,3,2,0,1
AML8_REL,GSM7494275,AML8,REL,76,58,4156,14,355,41,17,149,40,0,24,130,32,15,15,0,3,17,4,0,11
AML8_REM,GSM7494276,AML8,REM,97,14,108,113,650,0,1129,322,38,12,54,196,89,40,46,23,16,21,2,10,50
AML20_DX,GSM7494277,AML20,DX,913,830,775,259,87,378,2296,40,36,122,30,30,29,20,100,63,16,233,10,28,45
AML20_REM,GSM7494278,AML20,REM,138,27,16,59,361,3,423,96,67,3,39,577,47,16,47,4,10,19,0,2,36
AML5_DX,GSM7494279,AML5,DX,1059,15,577,25,490,885,1800,95,29,38,76,19,88,15,2,8,1,2,0,54,0
AML5_REL,GSM7494280,AML5,REL,336,358,711,71,337,247,1680,101,22,0,55,25,5,5,38,4,197,8,0,6,7
AML5_REM,GSM7494281,AML5,REM,221,257,196,273,685,4,615,96,60,2,66,531,112,50,390,47,18,122,0,2,261
AML17_DX,GSM7494282,AML17,DX,1216,1730,1009,81,107,117,1957,49,61,34,35,15,17,31,113,11,12,253,0,16,31
AML17_REL,GSM7494283,AML17,REL,21,317,449,212,1743,1135,1913,820,618,145,602,72,115,182,87,374,55,200,12,64,31
AML1_REM,GSM7494284,AML1,REM,304,305,2373,11,215,125,126,63,34,35,46,26,13,16,0,3,1,7,0,3,0
